07-03 20:35:15.474  9981 10215 D GetStringObjTask: WebRequest SERVER RESPONSE: Success+0
07-03 20:35:21.661   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:21.661   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:35:21.661   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:21.927   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:21.927   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:35:21.927   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:22.650   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:22.650   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:35:22.650   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:24.724   145   147 D dalvikvm: GC_CONCURRENT freed 1084K, 29% free 18287K/25543K, paused 3ms+8ms
07-03 20:35:26.907   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:26.907   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:35:26.907   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:27.650   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:27.650   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:35:27.650   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:31.915   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:31.915   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:35:31.915   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:32.650   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:32.650   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:35:32.653   345   345 D SAN_SERVICE: *******************************************
07-03 20:35:33.376  7364  7377 I PhoneLab-: Service Running
07-03 20:35:33.450  7364  7377 I PhoneLab-LoggerService: app_37    1360  1     1436   992   c00f181c 400107b4 S logcat
07-03 20:35:33.450  7364  7377 I PhoneLab-LoggerService: Logcat pid from database 1360
07-03 20:35:33.450  7364  7377 I PhoneLab-LoggerService: Logcat process found 1360
07-03 20:35:33.450  7364  7377 I PhoneLab-LoggerService: Checking Threshold
07-03 20:35:33.450  7364  7377 I PhoneLab-LoggerService: Starting to rename files
07-03 20:35:33.454  7364  7377 I PhoneLab-LoggerService: Files found .. 2
07-03 20:35:33.454  7364  7377 I PhoneLab-LoggerService: File 1 log.out.1
07-03 20:35:33.458  7364  7377 I PhoneLab-LoggerService: Renamed successfully
07-03 20:36:02.700   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:02.700   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:36:02.700   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:09.353   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:09.353   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:36:09.353   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:12.857   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:12.857   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:36:12.857   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:13.321   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:13.321   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:36:13.321   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:18.118   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:18.118   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:36:18.118   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:18.357   345   345 D SAN_SERVICE: *******************************************
07-03 20:36:18.357   345   345 D SAN_SERVICE: DM App Phone Service State - 0
07-03 20:36:18.357   345   345 D SAN_SERVICE: *******************************************
