07-06 16:30:34.744  2646  2649 D dalvikvm: GC_CONCURRENT freed 650K, 13% free 11465K/13127K, paused 2ms+2ms
07-06 16:30:34.912  2646  2649 D dalvikvm: GC_CONCURRENT freed 668K, 13% free 11496K/13127K, paused 2ms+3ms
07-06 16:30:35.061  2646  2649 D dalvikvm: GC_CONCURRENT freed 679K, 13% free 11518K/13127K, paused 2ms+3ms
07-06 16:30:36.021  2646  2649 D dalvikvm: GC_CONCURRENT freed 781K, 13% free 11442K/13127K, paused 2ms+3ms
07-06 16:30:37.650  2646  2649 D dalvikvm: GC_CONCURRENT freed 654K, 13% free 11469K/13127K, paused 2ms+2ms
07-06 16:30:38.740  2646  2649 D dalvikvm: GC_CONCURRENT freed 671K, 13% free 11488K/13127K, paused 2ms+3ms
07-06 16:30:39.021  2646  2649 D dalvikvm: GC_CONCURRENT freed 674K, 13% free 11511K/13127K, paused 2ms+3ms
07-06 16:30:39.107  2646  3450 D dalvikvm: GC_EXPLICIT freed 56K, 13% free 11508K/13127K, paused 3ms+4ms
07-06 16:30:40.283  2646  2653 I dalvikvm: Jit: resizing JitTable from 4096 to 8192
07-06 16:30:40.861  2646  2649 D dalvikvm: GC_CONCURRENT freed 697K, 13% free 11515K/13127K, paused 2ms+3ms
07-06 16:30:41.006  2646  2649 D dalvikvm: GC_CONCURRENT freed 686K, 13% free 11551K/13127K, paused 2ms+3ms
07-06 16:30:41.154  2646  2649 D dalvikvm: GC_CONCURRENT freed 701K, 12% free 11571K/13127K, paused 2ms+3ms
07-06 16:30:41.361   145   329 D dalvikvm: GC_EXPLICIT freed 523K, 11% free 15267K/17095K, paused 3ms+5ms
07-06 16:30:41.518  2646  2649 D dalvikvm: GC_CONCURRENT freed 586K, 11% free 11708K/13127K, paused 2ms+4ms
07-06 16:30:42.135   344   344 D SAN_SERVICE: *******************************************
07-06 16:30:42.135   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:30:42.135   344   344 D SAN_SERVICE: *******************************************
07-06 16:30:42.385   344   344 D SAN_SERVICE: *******************************************
07-06 16:30:42.385   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:30:42.385   344   344 D SAN_SERVICE: *******************************************
07-06 16:30:42.525   344   344 D SAN_SERVICE: *******************************************
07-06 16:30:42.525   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:30:42.525   344   344 D SAN_SERVICE: *******************************************
07-06 16:30:44.662  2646  2649 D dalvikvm: GC_CONCURRENT freed 952K, 12% free 11580K/13127K, paused 2ms+4ms
07-06 16:30:45.611  2646  2649 D dalvikvm: GC_CONCURRENT freed 807K, 13% free 11500K/13127K, paused 2ms+3ms
07-06 16:30:45.756  2646  2649 D dalvikvm: GC_CONCURRENT freed 629K, 12% free 11571K/13127K, paused 2ms+3ms
07-06 16:30:46.990  2646  2649 D dalvikvm: GC_CONCURRENT freed 810K, 13% free 11498K/13127K, paused 2ms+2ms
07-06 16:30:47.150  2646  2649 D dalvikvm: GC_CONCURRENT freed 613K, 12% free 11586K/13127K, paused 2ms+2ms
07-06 16:30:47.510  2646  2649 D dalvikvm: GC_CONCURRENT freed 701K, 12% free 11613K/13127K, paused 2ms+3ms
07-06 16:30:48.408  2646  2649 D dalvikvm: GC_CONCURRENT freed 827K, 13% free 11535K/13127K, paused 2ms+4ms
07-06 16:30:48.600  2646  2649 D dalvikvm: GC_CONCURRENT freed 729K, 13% free 11521K/13127K, paused 2ms+3ms
07-06 16:30:48.818  2646  2649 D dalvikvm: GC_CONCURRENT freed 712K, 12% free 11578K/13127K, paused 3ms+2ms
07-06 16:30:48.920  2646  2649 D dalvikvm: GC_CONCURRENT freed 541K, 11% free 11764K/13127K, paused 3ms+2ms
07-06 16:30:49.037  2646  2649 D dalvikvm: GC_CONCURRENT freed 545K, 9% free 12007K/13127K, paused 2ms+3ms
07-06 16:30:49.174  2646  2649 D dalvikvm: GC_CONCURRENT freed 1281K, 12% free 11608K/13127K, paused 2ms+2ms
07-06 16:30:49.287  2646  2649 D dalvikvm: GC_CONCURRENT freed 869K, 13% free 11487K/13127K, paused 2ms+3ms
07-06 16:30:50.127  2646  3447 I SyncService: sync service finished (16:30:50)
07-06 16:30:52.447   344   344 D SAN_SERVICE: *******************************************
07-06 16:30:52.447   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:30:52.447   344   344 D SAN_SERVICE: *******************************************
07-06 16:30:52.912   344   344 D SAN_SERVICE: *******************************************
07-06 16:30:52.912   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:30:52.912   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:07.811   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:07.811   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:07.811   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:08.463   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:08.463   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:08.463   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:08.502  2146  2148 D dalvikvm: GC_CONCURRENT freed 408K, 7% free 10515K/11207K, paused 6ms+5ms
07-06 16:31:08.561  1412  1414 D dalvikvm: GC_CONCURRENT freed 519K, 8% free 10248K/11079K, paused 2ms+3ms
07-06 16:31:17.408   427  1461 I PhoneLab-: Service Running
07-06 16:31:17.494   427  1461 I PhoneLab-LoggerService: app_37    1466  427   1436   1040  c00f181c 400107b4 S logcat
07-06 16:31:17.498   427  1461 I PhoneLab-LoggerService: Logcat pid from database 1466
07-06 16:31:17.498   427  1461 I PhoneLab-LoggerService: Logcat process found 1466
07-06 16:31:17.498   427  1461 I PhoneLab-LoggerService: Checking Threshold
07-06 16:31:17.498   427  1461 I PhoneLab-LoggerService: Starting to rename files
07-06 16:31:17.498   427  1461 I PhoneLab-LoggerService: Files found .. 2
07-06 16:31:17.498   427  1461 I PhoneLab-LoggerService: File 1 log.out.1
07-06 16:31:17.705   427  1461 I PhoneLab-LoggerService: Renamed successfully
07-06 16:31:24.814   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:24.818   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:24.818   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:25.373   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:25.373   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:25.373   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:33.385   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:33.385   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:33.385   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:33.654   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:33.654   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:33.654   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:34.400   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:34.400   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:34.400   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:43.619   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:43.619   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:43.619   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:58.963   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:58.963   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:58.963   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:59.705   344   344 D SAN_SERVICE: *******************************************
07-06 16:31:59.705   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:31:59.709   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:05.838   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:05.838   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:32:05.838   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:14.381   145   199 D DhcpInfoInternal: makeLinkProperties with empty dns2!
07-06 16:32:14.393   145   199 D DhcpInfoInternal: makeLinkProperties with empty dns2!
07-06 16:32:19.412   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:19.412   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:32:19.412   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:20.217   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:20.217   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:32:20.221   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:29.705   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:29.705   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:32:29.705   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:29.740   344   345 D dalvikvm: GC_CONCURRENT freed 386K, 7% free 9440K/10055K, paused 2ms+2ms
07-06 16:32:39.936   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:39.936   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:32:39.936   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:55.506   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:55.506   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:32:55.506   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:55.744   344   344 D SAN_SERVICE: *******************************************
07-06 16:32:55.744   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:32:55.744   344   344 D SAN_SERVICE: *******************************************
07-06 16:33:08.506  2146  2148 D dalvikvm: GC_CONCURRENT freed 504K, 7% free 10523K/11207K, paused 2ms+3ms
07-06 16:33:08.635  1412  1414 D dalvikvm: GC_CONCURRENT freed 500K, 8% free 10253K/11079K, paused 2ms+8ms
07-06 16:33:10.650   344   344 D SAN_SERVICE: *******************************************
07-06 16:33:10.650   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:33:10.650   344   344 D SAN_SERVICE: *******************************************
07-06 16:33:10.943   344   344 D SAN_SERVICE: *******************************************
07-06 16:33:10.943   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:33:10.943   344   344 D SAN_SERVICE: *******************************************
07-06 16:33:11.674   344   344 D SAN_SERVICE: *******************************************
07-06 16:33:11.674   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:33:11.674   344   344 D SAN_SERVICE: *******************************************
07-06 16:33:17.408   427  1461 I PhoneLab-: Service Running
07-06 16:33:17.479   427  1461 I PhoneLab-LoggerService: app_37    1466  427   1436   1040  c00f181c 400107b4 S logcat
07-06 16:33:17.479   427  1461 I PhoneLab-LoggerService: Logcat pid from database 1466
07-06 16:33:17.479   427  1461 I PhoneLab-LoggerService: Logcat process found 1466
07-06 16:33:17.479   427  1461 I PhoneLab-LoggerService: Checking Threshold
07-06 16:33:17.479   427  1461 I PhoneLab-LoggerService: Starting to rename files
07-06 16:33:17.479   427  1461 I PhoneLab-LoggerService: Files found .. 2
07-06 16:33:20.908   344   344 D SAN_SERVICE: *******************************************
07-06 16:33:20.908   344   344 D SAN_SERVICE: DM App Phone Service State - 0
07-06 16:33:20.908   344   344 D SAN_SERVICE: *******************************************
07-06 16:33:41.443   344   344 D SAN_SERVICE: *******************************************
