06-18 16:00:43.754  2190  2380 D Bible - E/Misc: couldn't load widget VOD data
06-18 16:00:43.757  2190  2380 D Bible - E/Misc: YouVersionApiException: Connection to http://api.youversion.com refused
06-18 16:00:43.761  2190  2380 D Bible - E/Misc: 	iu.a(SourceFile:120)
06-18 16:00:43.761  2190  2380 D Bible - E/Misc: 	com.youversion.mobile.android.appwidget.UpdateService.a(SourceFile:246)
06-18 16:00:43.761  2190  2380 D Bible - E/Misc: 	qi.run(SourceFile:105)
06-18 16:00:43.765  2190  2380 D Bible - E/Misc: HttpHostConnectException: Connection to http://api.youversion.com refused
06-18 16:00:43.765  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:183)
06-18 16:00:43.765  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.conn.AbstractPoolEntry.open(AbstractPoolEntry.java:164)
06-18 16:00:43.769  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.conn.AbstractPooledConnAdapter.open(AbstractPooledConnAdapter.java:119)
06-18 16:00:43.769  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:360)
06-18 16:00:43.769  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
06-18 16:00:43.773  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
06-18 16:00:43.773  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:465)
06-18 16:00:43.773  2190  2380 D Bible - E/Misc: 	js.a(SourceFile:124)
06-18 16:00:43.777  2190  2380 D Bible - E/Misc: 	js.a(SourceFile:87)
06-18 16:00:43.777  2190  2380 D Bible - E/Misc: 	iu.a(SourceFile:101)
06-18 16:00:43.777  2190  2380 D Bible - E/Misc: 	com.youversion.mobile.android.appwidget.UpdateService.a(SourceFile:246)
06-18 16:00:43.777  2190  2380 D Bible - E/Misc: 	qi.run(SourceFile:105)
06-18 16:00:43.781  2190  2380 D Bible - E/Misc: ConnectException: failed to connect to /173.192.228.18 (port 80) after 10000ms: isConnected failed: EHOSTUNREACH (No route to host)
06-18 16:00:43.781  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:181)
06-18 16:00:43.781  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.conn.AbstractPoolEntry.open(AbstractPoolEntry.java:164)
06-18 16:00:43.785  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.conn.AbstractPooledConnAdapter.open(AbstractPooledConnAdapter.java:119)
06-18 16:00:43.785  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:360)
06-18 16:00:43.785  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
06-18 16:00:43.789  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
06-18 16:00:43.789  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:465)
06-18 16:00:43.789  2190  2380 D Bible - E/Misc: 	js.a(SourceFile:124)
06-18 16:00:43.793  2190  2380 D Bible - E/Misc: 	js.a(SourceFile:87)
06-18 16:00:43.793  2190  2380 D Bible - E/Misc: 	iu.a(SourceFile:101)
06-18 16:00:43.793  2190  2380 D Bible - E/Misc: 	com.youversion.mobile.android.appwidget.UpdateService.a(SourceFile:246)
06-18 16:00:43.796  2190  2380 D Bible - E/Misc: 	qi.run(SourceFile:105)
06-18 16:00:43.796  2190  2380 D Bible - E/Misc: SocketException: failed to connect to /173.192.228.18 (port 80) after 10000ms: isConnected failed: EHOSTUNREACH (No route to host)
06-18 16:00:43.796  2190  2380 D Bible - E/Misc: 	libcore.io.IoBridge.isConnected(IoBridge.java:220)
06-18 16:00:43.796  2190  2380 D Bible - E/Misc: 	libcore.io.IoBridge.connectErrno(IoBridge.java:152)
06-18 16:00:43.800  2190  2380 D Bible - E/Misc: 	libcore.io.IoBridge.connect(IoBridge.java:112)
06-18 16:00:43.820  2190  2380 D Bible - E/Misc: 	java.net.PlainSocketImpl.connect(PlainSocketImpl.java:192)
06-18 16:00:43.820  2190  2380 D Bible - E/Misc: 	java.net.PlainSocketImpl.connect(PlainSocketImpl.java:459)
06-18 16:00:43.820  2190  2380 D Bible - E/Misc: 	java.net.Socket.connect(Socket.java:842)
06-18 16:00:43.824  2190  2380 D Bible - E/Misc: 	org.apache.http.conn.scheme.PlainSocketFactory.connectSocket(PlainSocketFactory.java:119)
06-18 16:00:43.828  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:144)
06-18 16:00:43.828  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.conn.AbstractPoolEntry.open(AbstractPoolEntry.java:164)
06-18 16:00:43.832  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.conn.AbstractPooledConnAdapter.open(AbstractPooledConnAdapter.java:119)
06-18 16:00:43.836  2190  2380 D Bible - E/Misc: 	org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:360)
