06-19 10:02:39.433 10126 11257 D Misc    : code = esv, osis = 1Cor.13, reference = 1 Corinthians 13
06-19 10:02:39.480 10126 11257 I Misc    : read 1 rows from the chapters database
06-19 10:02:39.601 10126 10129 D dalvikvm: GC_CONCURRENT freed 3745K, 23% free 22145K/28487K, paused 2ms+9ms
06-19 10:02:41.519 10126 11257 D Bible - Misc: error fetching audio bible chapter info
06-19 10:02:41.519 10126 11257 D Bible - Misc: com.youversion.exceptions.YouVersionApiException: Connection to http://api.youversion.com refused
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at jw.a(SourceFile:89)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at agu.run(SourceFile:2069)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at java.lang.Thread.run(Thread.java:856)
06-19 10:02:41.519 10126 11257 D Bible - Misc: Caused by: org.apache.http.conn.HttpHostConnectException: Connection to http://api.youversion.com refused
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:183)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at org.apache.http.impl.conn.AbstractPoolEntry.open(AbstractPoolEntry.java:164)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at org.apache.http.impl.conn.AbstractPooledConnAdapter.open(AbstractPooledConnAdapter.java:119)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:360)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:465)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at js.a(SourceFile:124)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at js.a(SourceFile:87)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at jw.a(SourceFile:81)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	... 2 more
06-19 10:02:41.519 10126 11257 D Bible - Misc: Caused by: java.net.ConnectException: failed to connect to /173.192.228.18 (port 80) after 10000ms: isConnected failed: EHOSTUNREACH (No route to host)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:181)
06-19 10:02:41.519 10126 11257 D Bible - Misc: 	... 11 more
